3,2,car,883.4482719259706,733.9669107826901,322.1200007567136,288.0330892173099
2,3,3,car,278.4285094586163,691.0,410.38090301072054,284.016471518089
3,3,4,car,791.9059384373741,178.76948654374047,54.05874006335591,29.01714562897797
4,3,5,car,684.7085943162892,218.0,66.19495518022575,46.77955535312702
5,3,6,car,1073.0,190.0,40.0,24.0
6,3,11,traffic light,79.97173345353904,140.0,72.615643799176,123.22044464687292
11,3,12,traffic light,1015.1772398354425,104.802273827732,13.677297749658123,40.984111289728446
12,3,13,umbrella,889.8486269039229,538.4237029986191,153.77752053435688,69.8051722818849
13,5,2,car,884.041407438487,730.0948373455185,320.9646131800779,287.3327948060287
2,5,3,car,277.83762224636183,690.2373509262435,411.34833393980335,284.80992583567047
3,5,4,car,776.4130040552706,175.99093058879063,61.23094518085543,32.83490299349788
4,5,5,car,668.3596011398831,217.24346173104573,74.60836584175149,53.077096570147376
5,5,6,car,1072.0316080260313,189.23674881483748,41.173532762774585,24.763251185162517
6,5,11,traffic light,80.70759107876984,141.53152726818632,71.63251993935171,121.44462168336798
11,5,12,traffic light,1015.3897814654875,105.3133183469029,13.616510906129975,40.80196308144754
12,5,13,umbrella,891.5638866462053,528.0600321720989,149.12575939367628,67.85820723253858
13,5,14,car,928.3463679715594,196.363236094669,37.606739735256724,32.76514280405334
14,5,15,car,914.8490562430488,143.1891700078436,24.68877400633778,16.984798838655422
15,7,2,car,891.2096852639556,725.1832091451906,308.10302496123495,276.01739373186285
2,7,3,car,276.9739237900916,689.2565117855452,414.4873891702067,287.262743286316
3,7,4,car,764.6488578784945,177.82967670747996,59.131963887962115,31.328470996941604
4,7,5,car,658.1389241305869,220.43113163845254,76.7782559764155,54.455679625733524
5,7,6,car,1072.1492759724645,188.99207163246803,41.41916142178934,25.007928367532003
6,7,11,traffic light,80.55663154843026,142.01705150761808,70.56157044631786,119.41304154149447
11,7,12,traffic light,1015.3427575616299,105.97946425737332,13.403388444460916,40.07246963342554
12,7,13,umbrella,894.092889863924,515.7896176121221,139.2343591224726,63.44665983801315
13,7,14,car,931.3236891840091,189.84386561840165,36.362580878515246,31.51241127640725
14,7,15,car,915.4878105663106,142.66978664861304,24.42498106874916,16.803320715736447
15,7,16,car,1057.922571934976,164.0307482066156,27.56824868565809,19.984625896692194
16,7,17,traffic light,893.2886370074277,106.7959520623986,14.422725985144439,37.44088929374591
17,7,18,car,89.41873979787947,298.36730024517385,190.76955175701465,57.01356714634801
18,9,2,car,900.5632692189946,714.8798904289606,291.34107836056876,261.2808124873038
2,9,3,car,276.63321138513726,688.9404802429183,414.93718025415495,288.0656671060175
3,9,4,car,740.4164366268116,178.6322643317846,60.80910869562433,32.00643229959627
4,9,5,car,637.4741039568078,225.81187042250983,76.70169173053853,54.12587437405401
5,9,6,car,1071.5109321374446,188.9217067115589,41.46195242148815,25.078293288441103
6,9,11,traffic light,80.22270988503479,141.42317296947834,71.47482329913757,120.96647587344995
11,9,12,traffic light,1015.3404291346433,106.13847155649755,13.389899570612897,39.933058273575725
12,9,13,umbrella,897.4254020622739,494.27400401685236,131.03824752018068,59.795778623991964
13,9,14,car,929.861584769705,187.73468212601975,35.49972550047653,30.448241870654442
14,9,16,car,1058.4893758994212,163.31847747240326,27.50542236209344,19.954989323884007
16,9,17,traffic light,893.6538207267008,108.62520970853768,13.692358546598257,35.39623325156123
17,9,18,car,100.44734218693009,301.0444166202316,174.97167576567762,52.29219880280721
18,9,20,motorbike,948.2888381107206,542.243338271461,46.01766810700701,92.56428288522477
20,11,2,car,908.1103299644598,697.8217999222511,279.0400199693014,250.75987350970763
2,11,3,car,282.5614937321478,683.2706608280182,415.5444098958509,289.69594134047
3,11,4,car,720.0920908800814,180.96690765241436,58.31056522787628,30.849935038328624
4,11,5,car,608.9905569081712,233.95022463137562,84.61925712712923,60.027930882771756
5,11,6,car,1070.6871448272202,188.90952411784514,41.285978791342586,25.090475882154863
6,11,11,traffic light,80.47805272044795,141.20403452177771,71.74588072985213,121.53253273528583
11,11,12,traffic light,1015.1088481457991,106.17588525925926,13.135980933138171,39.189568027032706
12,11,13,umbrella,902.0483114567271,473.0866305282585,122.12908273937433,55.77179771495355
13,11,14,car,930.1193794527832,186.33877739999113,33.86409221814051,28.769997351354448
14,11,16,car,1058.5547883684935,163.29456221431425,27.330475867155428,19.828066920606744
16,11,17,traffic light,893.7315742451874,109.14143188877198,13.536851509625308,34.82448244307621
17,11,20,motorbike,948.0361835646058,528.0261787995698,45.15863396304178,90.83634016570124
20,13,2,car,917.1683155981757,668.7669834872094,268.24740002450085,241.8243761840755
2,13,3,car,302.57151491191104,675.0864254775593,403.9883175342788,282.69230153571675
3,13,4,car,707.533229375036,181.4600332434536,58.98825083872555,31.20847217426683
4,13,5,car,581.884373336662,239.45208544245634,90.2929545145073,64.72471943907703
5,13,6,car,1070.2695446643697,188.22988557561507,42.163509697593554,25.77011442438493
6,13,11,traffic light,80.45349159496482,141.11392075148802,71.38044194109199,121.06933969687424
11,13,12,traffic light,1015.1282373204467,105.46699215636797,13.53870888063625,40.34187690448458
12,13,13,umbrella,908.9432549401789,452.86613994083814,111.46666505202336,50.9173056602624
13,13,14,car,930.8354732288412,185.1772825852384,32.134547936432455,26.892794758705065
14,13,17,traffic light,893.9207596746426,109.9812910901268,13.15848065071475,33.85109675740486
17,13,21,car,666.2546134080992,183.41524744088022,64.66751073095315,45.34624266539106
21,15,2,car,926.9640084720729,642.2488045445394,249.6625495284643,224.9527303400548
